"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"","Lone Wolf McQuade","Action","$5,000,000","$12,232,628",NA,"1983"
"","Rock & Rule","","","$0",NA,"1983"
"April 22","Exposed","Drama","","$1,352,083",NA,"1983"
"","La traviata","Musical","","$3,594,000",NA,"1983"
"April 29","Blue Skies Again","Comedy","","$46,603",NA,"1983"
"","The Draughtsman's Contract","","","$0",NA,"1983"
"","The Hunger","Horror","","$4,800,000",NA,"1983"
"","Koyaanisqatsi","","","$0",NA,"1983"
"","Something Wicked This Way Comes","Horror","","$5,656,087",NA,"1983"
"","Valley Girl","Comedy","","$16,800,000",NA,"1983"
"May 6","Alsino y el cóndor","Drama","","$0",NA,"1983"
"","Doctor Detroit","Comedy","","$10,400,000",NA,"1983"
"","Still Smokin","Comedy","","$15,543,000",NA,"1983"
"May 13","Blue Thunder","Action","","$42,313,354",NA,"1983"
"","Breathless","Action","","$19,910,002",NA,"1983"
"May 20","Spacehunter: Adventures in the Forbidden Zone","Adventure","","$16,478,265",NA,"1983"
"May 25","Star Wars Ep. VI: Return of the Jedi","Adventure","$32,500,000","$309,205,079",NA,"1983"
"May 27","Chained Heat","Drama","","$6,149,983",NA,"1983"
"June 3","The Man with Two Brains","Comedy","","$10,353,438",NA,"1983"
"","Psycho II","Horror","","$32,000,000",NA,"1983"
"","Le retour de Martin Guerre","Drama","","$2,522,881",NA,"1983"
"","WarGames","Thriller/Suspense","$12,000,000","$74,433,837",NA,"1983"
"June 8","Trading Places","Comedy","","$90,400,000",NA,"1983"
"June 10","Octopussy","Action","$27,500,000","$67,900,000",NA,"1983"
"June 17","Etoile du Nord, L'","","","$0",NA,"1983"
"","Fanny och Alexander","Drama","","$4,971,340",NA,"1983"
"","Superman III","Adventure","$39,000,000","$59,950,623",NA,"1983"
"June 22","The Survivors","Comedy","","$14,000,000",NA,"1983"
"June 24","Porky's II: The Next Day","Comedy","","$33,759,266",NA,"1983"
"","Twilight Zone: The Movie","Horror","$10,000,000","$29,500,000",NA,"1983"
"","Yellowbeard","Comedy","","$4,300,000",NA,"1983"
"July 1","Stroker Ace","Comedy","","$13,000,000",NA,"1983"
"July 15","Deadly Force","Action","","$294,316",NA,"1983"
"","Puberty Blues","Comedy","","$237,000",NA,"1983"
"","Staying Alive","Musical","","$63,841,474",NA,"1983"
"","Zelig","Comedy","","$11,798,616",NA,"1983"
"July 22","Class","Comedy","","$21,667,789",NA,"1983"
"","Jaws 3-D","Horror","","$42,245,180",NA,"1983"
"","Mr. Mom","Comedy","","$64,800,000",NA,"1983"
"July 29","Krull","Adventure","","$16,519,460",NA,"1983"
"","National Lampoon’s Vacation","Comedy","$15,000,000","$61,400,000",NA,"1983"
"","Pauline at the Beach","","","$0",NA,"1983"
"","Private School","Comedy","","$14,049,540",NA,"1983"
"August 5","Get Crazy","","","$1,168,364",NA,"1983"
"","Risky Business","Comedy","","$63,541,777",NA,"1983"
"","The Star Chamber","Action","","$5,600,000",NA,"1983"
"August 12","Cujo","Horror","","$21,156,152",NA,"1983"
"","Curse of the Pink Panther","Comedy","","$3,374,312",NA,"1983"
"","The Man Who Wasn't There","Comedy","","$2,315,505",NA,"1983"
"","Smokey and the Bandit III","Comedy","","$7,000,000",NA,"1983"
"August 19","The Adventures of Bob & Doug McKenzie: Strange Brew","Comedy","","$7,035,618",NA,"1983"
"","The Ballad of Gregorio Cortez","Western","$1,305,000","$909,000",NA,"1983"
"","Easy Money","Comedy","","$29,309,766",NA,"1983"
"","The Golden Seal","Adventure","","$6,609,870",NA,"1983"
"","Metalstorm: The Destruction of Jared-Syn","Adventure","","$5,301,085",NA,"1983"
"","Yor: Hunter From the Future","Action","","$2,810,199",NA,"1983"
"August 26","Daniel","Drama","","$484,068",NA,"1983"
"","Fire and Ice","Adventure","","$760,883",NA,"1983"
"","Hercules","Adventure","","$9,466,655",NA,"1983"
"","Merry Christmas, Mr. Lawrence","Drama","","$2,306,560",NA,"1983"
"","Young Warriors","Action","","$238,534",NA,"1983"
"September 2","DeathStalker","Action","","$8,890,685",NA,"1983"
"","Lonely Hearts","Drama","","$683,534",NA,"1983"
"","Mortuary","Horror","","$1,722,738",NA,"1983"
"","Nightmares","Horror","","$6,670,680",NA,"1983"
"","Stryker","Action","","$887,080",NA,"1983"
"","Turkey Shoot","Action","","$1,233,657",NA,"1983"
"September 7","Revenge of the Ninja","Action","","$10,325,628",NA,"1983"
"September 9","Leidenschaftliche Blümchen","Comedy","","$131,396",NA,"1983"
"September 15","Heat and Dust","Drama","","$903,037",NA,"1983"
"September 16","Strange Invaders","Thriller/Suspense","","$1,362,303",NA,"1983"
"","Who Dares Wins","Action","","$2,108,197",NA,"1983"
"September 21","Cross Creek","Drama","","$205,970",NA,"1983"
"","Educating Rita","Drama","","$14,688,000",NA,"1983"
"September 23","Eddie and the Cruisers","Drama","","$4,685,097",NA,"1983"
"","Last Plane Out","","","$115,475",NA,"1983"
"","Pieces","Horror","","$1,198,346",NA,"1983"
"September 28","The Big Chill","Comedy","","$56,077,501",NA,"1983"
"September 30","Brainstorm","Thriller/Suspense","$15,000,000","$8,921,050",NA,"1983"
"","Hanna K.","Drama","","$110,000",NA,"1983"
"","The Honorary Consul","Thriller/Suspense","","$4,800,000",NA,"1983"
"","The Lonely Lady","Drama","","$1,223,220",NA,"1983"
"October 7","La flûte à six schtroumpfs","Adventure","","$11,234,220",NA,"1983"
"","Never Cry Wolf","Drama","","$27,668,764",NA,"1983"
"","Never Say Never Again","Action","$36,000,000","$55,500,000",NA,"1983"
"","The Prey","Horror","","$49,677",NA,"1983"
"","Romantic Comedy","Comedy","","$5,140,538",NA,"1983"
"","Rumble Fish","Drama","","$2,500,000",NA,"1983"
"October 12","Passion","","","$0",NA,"1983"
"October 14","Possession","Horror","","$1,113,538",NA,"1983"
"","Streamers","","","$0",NA,"1983"
"October 21","All the Right Moves","Drama","","$17,200,000",NA,"1983"
"","The Dead Zone","Horror","$10,000,000","$20,766,000",NA,"1983"
"","The Osterman Weekend","Thriller/Suspense","","$6,500,000",NA,"1983"
"","The Right Stuff","Action","$27,000,000","$21,500,000",NA,"1983"
"","Under Fire","Drama","","$5,700,000",NA,"1983"
"October 28","Going Berserk","Comedy","","$234,950",NA,"1983"
"","Richard Pryor Here and Now","Concert/Performance","","$16,156,776",NA,"1983"
"","The Wicked Lady","Drama","$8,000,000","$589,308",NA,"1983"
"November 4","Deal of the Century","Comedy","","$10,400,000",NA,"1983"
"","Experience Preferred","Drama","","$822,650",NA,"1983"
"","Running Brave","Drama","","$1,204,595",NA,"1983"
"","Testament","Drama","","$1,537,122",NA,"1983"
"November 10","Star 80","Drama","","$6,472,990",NA,"1983"
"November 18","Amityville 3-D","Horror","","$6,333,135",NA,"1983"
"","A Christmas Story","Comedy","$3,250,000","$20,605,209",NA,"1983"
"","Cross Country","Thriller/Suspense","","$113,880",NA,"1983"
"","Nate and Hayes","Adventure","","$1,643,022",NA,"1983"
"","A Night in Heaven","Drama","","$5,563,663",NA,"1983"
"","Yentl","Musical","$12,000,000","$39,012,241",NA,"1983"
"November 23","Of Unknown Origin","Horror","","$1,080,470",NA,"1983"
"","Terms of Endearment","Drama","","$108,423,489",NA,"1983"
"December 6","The Dresser","Drama","","$5,310,748",NA,"1983"
"December 9","Christine","Horror","","$21,200,000",NA,"1983"
"","Scarface","Drama","$25,000,000","$44,942,821",NA,"1983"
"","Sudden Impact","Action","","$67,642,693",NA,"1983"
"December 14","Silkwood","Drama","","$35,615,609",NA,"1983"
"December 16","D.C. Cab","Comedy","","$16,134,000",NA,"1983"
"","Gorky Park","Drama","","$15,900,000",NA,"1983"
"","The Keep","Horror","","$3,661,757",NA,"1983"
"","The Man Who Loved Women","Comedy","","$11,000,000",NA,"1983"
"","Reuben, Reuben","","","$0",NA,"1983"
"","To Be or Not to Be","Comedy","","$13,030,214",NA,"1983"
"","Two of a Kind","Comedy","","$23,700,000",NA,"1983"
"","Uncommon Valor","Action","","$27,900,000",NA,"1983"
"December 31","Chattanooga Choo Choo","Comedy","","$0",NA,"1983"
"","Otto er et naesehorn","","","$0",NA,"1983"
"","Walking the Edge","","","$0",NA,"1983"
"January 13","Angel","Thriller/Suspense","","$17,488,564","","1984"
"","Hot Dog… The Movie","Comedy","","$17,540,166","","1984"
"January 20","The Buddy System","Drama","","$1,820,049","","1984"
"","Scandalous","Comedy","","$526,805","","1984"
"January 25","Entre Nous","","","$0","","1984"
"January 27","Broadway Danny Rose","Comedy","","$10,600,497","","1984"
"","The Lonely Guy","Comedy","","$4,800,000","","1984"
"","Slayground","Action","","$108,128","","1984"
"February 1","Scrubbers","","","$0","","1984"
"","Strangers Kiss","","","$0","","1984"
"February 3","Reckless","Drama","","$6,731,602","","1984"
"","Weekend Pass","Comedy","","$21,058,033","","1984"
"February 10","Unfaithfully Yours","Romantic Comedy","","$19,928,200","","1984"
"February 17","Blame it on Rio","Comedy","","$18,600,000","","1984"
"","Crackers","Action","","$58,689","","1984"
"","Footloose","Musical","$8,200,000","$80,000,000","","1984"
"","Lassiter","Thriller/Suspense","","$17,513,452","","1984"
"March 2","Against All Odds","Drama","","$25,100,000","","1984"
"","Harry & Son","Drama","","$4,900,000","","1984"
"","Over the Brooklyn Bridge","Comedy","","$592,448","","1984"
"","Repo Man","Comedy","$1,500,000","$2,300,000","","1984"
"","Sahara","Adventure","","$1,025,015","","1984"
"","This is Spinal Tap","Comedy","","$4,736,202","","1984"
"March 9","Children of the Corn","Horror","","$14,600,000","","1984"
"","The Hotel New Hampshire","Drama","$7,500,000","$5,142,858","","1984"
"","Mike's Murder","Thriller/Suspense","","$1,100,000","","1984"
"","Splash","Comedy","$8,000,000","$62,599,495","","1984"
"March 16","The Ice Pirates","Comedy","$9,000,000","$13,075,390","","1984"
"","Tank","Action","","$11,131,530","","1984"
"March 23","Le bal","Musical","","$0","","1984"
"","Police Academy","Comedy","$4,500,000","$81,198,894","","1984"
"","Racing with the Moon","Drama","","$5,400,000","","1984"
"March 30","Greystoke: The Legend of Tarzan, Lord of the Apes","Adventure","","$45,900,000","","1984"
"","Misunderstood","Drama","","$1,500,000","","1984"
"","Purple Hearts","Drama","","$952,478","","1984"
"","Romancing the Stone","Adventure","","$75,078,260","","1984"
"April 6","Hard To Hold","Drama","","$8,853,155","","1984"
"","Moscow on the Hudson","Comedy","","$25,100,000","","1984"
"","The Stone Boy","Drama","","$0","","1984"
"","Up the Creek","Comedy","","$11,708,269","","1984"
"","Where the Boys Are '84","Comedy","","$10,530,000","","1984"
"April 13","Friday the 13th Part IV: The Final Chapter","Horror","$2,600,000","$32,980,880","","1984"
"","Iceman","Drama","","$7,343,032","","1984"
"","Kidco","","","$0","","1984"
"","Phar Lap","","","$0","","1984"
"","Privates on Parade","","","$0","","1984"
"","Sugar Cane Alley","","","$0","","1984"
"","Swing Shift","Drama","","$6,700,000","","1984"
"April 20","Champions","Drama","","$200,000","","1984"
"","Kipperbang","","","$0","","1984"
"April 27","Love Letters","Thriller/Suspense","$550,000","$5,269,990","","1984"
"","Young Lust","","","$0","","1984"
"May 4","Alphabet City","Action","","$7,000,000","","1984"
"","The Bounty","Drama","","$8,613,462","","1984"
"","Breakin'","Musical","","$36,100,000","","1984"
"","Hardbodies","Comedy","","$7,121,000","","1984"
"","Sixteen Candles","Comedy","","$23,686,027","","1984"
"May 11","Firestarter","Horror","$15,000,000","$15,136,870","","1984"
"","Gabriela","","","$0","","1984"
"","The Natural","Drama","","$47,951,979","","1984"
"May 18","Finders Keepers","Comedy","","$1,500,000","","1984"
"","Making the Grade","Comedy","","$4,561,000","","1984"
"May 23","Indiana Jones and the Temple of Doom","Adventure","$28,000,000","$179,880,271","","1984"
"June 1","Once Upon a Time in America","Drama","$30,000,000","$5,321,508","","1984"
"","Star Trek III: The Search for Spock","Adventure","$18,000,000","$76,471,046","","1984"
"","Streets of Fire","Action","","$5,600,000","","1984"
"June 8","Beat Street","Drama","","$16,595,791","","1984"
"","Ghostbusters","Comedy","$30,000,000","$242,212,467","Play","1984"
"","Gremlins","Comedy","$11,000,000","$148,168,459","","1984"
"June 13","Under the Volcano","Drama","","$2,428,653","","1984"
"June 15","Careful, He Might Hear You","Drama","","$0","","1984"
"June 16","Grand Canyon: The Hidden Secrets","Documentary","","$52,800,000","","1984"
"June 22","The Karate Kid","Action","$8,000,000","$90,815,558","","1984"
"","The Pope of Greenwich Village","Drama","","$6,139,896","","1984"
"","Rhinestone","Comedy","","$21,400,000","","1984"
"","Top Secret!","Comedy","","$21,100,000","","1984"
"June 29","Another Country","Drama","","$0","","1984"
"","Bachelor Party","Comedy","","$38,435,947","","1984"
"","Cannonball Run II","Comedy","","$28,100,000","","1984"
"","Conan the Destroyer","Action","$18,000,000","$26,400,000","","1984"
"July 9","The Gods Must Be Crazy","Comedy","","$30,031,783","","1984"
"July 13","The Last Starfighter","Comedy","","$22,200,789","","1984"
"","The Muppets Take Manhattan","Comedy","","$25,534,703","","1984"
"July 20","Best Defense","Comedy","","$19,265,302","","1984"
"","The Bostonians","Drama","","$312,566","","1984"
"","Electric Dreams","Comedy","","$1,932,663","","1984"
"","One Deadly Summer","Drama","","$0","","1984"
"","Revenge of the Nerds","Comedy","","$40,874,452","","1984"
"","Die Unendliche Geschichte","Adventure","$27,000,000","$21,300,000","","1984"
"July 27","Cheech & Chong's The Corsican Brothers","Comedy","","$3,772,785","","1984"
"","Meatballs II","Comedy","","$5,410,972","","1984"
"","Purple Rain","Drama","","$68,392,977","","1984"
"August 3","Grandview, U.S.A.","Drama","","$4,743,119","","1984"
"","Joy of Sex","Comedy","","$4,463,000","","1984"
"","The Philadelphia Experiment","Adventure","","$8,103,330","","1984"
"August 10","The Adventures of Buckaroo Banzai Across the 8th Dimension","Adventure","","$6,300,000","","1984"
"","Cloak & Dagger","Action","","$9,719,952","","1984"
"","Red Dawn","Action","","$38,900,000","","1984"
"August 15","The Woman in Red","Comedy","","$25,308,147","","1984"
"August 17","Dreamscape","Adventure","","$12,116,365","","1984"
"","Old Enough","","","$0","","1984"
"","Sheena","Adventure","$25,000,000","$5,778,353","","1984"
"","Tightrope","Thriller/Suspense","","$48,100,000","","1984"
"August 24","Cal","Drama","","$0","","1984"
"","Oxford Blues","Comedy","","$8,793,000","","1984"
"August 29","Choose Me","Comedy","","$2,490,233","","1984"
"August 31","Bolero","Drama","","$9,000,000","","1984"
"","C.H.U.D.","Horror","$1,250,000","$4,700,000","","1984"
"","Flashpoint","Action","","$3,854,833","","1984"
"September 7","The Brother from Another Planet","Comedy","","$3,700,000","","1984"
"","The Warrior and the Sorceress","Action","","$2,886,225","","1984"
"September 14","Un amour de Swann","Drama","","$223,327","","1984"
"","Exterminator 2","Action","","$3,739,406","","1984"
"","Ninja III: The Domination","Action","","$7,610,785","","1984"
"","A Soldier's Story","Drama","","$22,100,000","","1984"
"September 19","Amadeus","Drama","$18,000,000","$51,973,029","","1984"
"September 21","All of Me","Comedy","","$35,243,581","","1984"
"","The Evil That Men Do","Action","","$13,102,025","","1984"
"","Places in the Heart","Drama","","$34,900,814","","1984"
"","The River Rat","Action","","$790,254","","1984"
"","Until September","Drama","","$4,097,094","","1984"
"","Windy City","Drama","","$343,890","","1984"
"September 28","The Bear","Drama","","$2,687,148","","1984"
"","Body Rock","Musical","","$1,639,127","","1984"
"","Heartbreakers","Drama","","$104,125","","1984"
"","Impulse","Thriller/Suspense","","$2,766,716","","1984"
"","Irreconcilable Differences","Comedy","","$12,400,000","","1984"
"","The Wild Life","Comedy","","$9,500,000","","1984"
"September 29","Country","Drama","","$8,400,000","","1984"
"October 5","Eureka","","","$0","","1984"
"","The Perils of Gwendoline","","","$0","","1984"
"","Stranger Than Paradise","","","$0","","1984"
"","Teachers","Drama","","$27,700,000","","1984"
"October 12","Comfort and Joy","","","$0","","1984"
"","Garbo Talks","Drama","","$1,427,108","","1984"
"","Songwriter","Drama","","$865,915","","1984"
"October 19","Crimes of Passion","Thriller/Suspense","","$2,912,945","","1984"
"","The Little Drummer Girl","Thriller/Suspense","","$7,828,841","","1984"
"","The Razor's Edge","Drama","","$6,600,000","","1984"
"","Stop Making Sense","Concert/Performance","","$5,020,659","","1984"
"","Thief of Hearts","Drama","","$10,400,000","","1984"
"October 21","Ascensão","Drama","","$0","","1984"
"October 26","American Dreamer","Romantic Comedy","","$5,021,751","","1984"
"","Body Double","Thriller/Suspense","$10,000,000","$8,801,940","","1984"
"","Firstborn","Drama","","$6,200,000","","1984"
"","Give My Regards to Broad Street","Musical","","$1,387,440","","1984"
"","Paris, Texas","Drama","","$2,164,507","","1984"
"","The Terminator","Action","$6,400,000","$38,019,031","","1984"
"","Terror in the Aisles","Multiple Genres","","$8,316,206","","1984"
"November 2","Blame it on the Night","Comedy","","$201,096","","1984"
"","The Killing Fields","Drama","","$34,609,720","","1984"
"","Lovelines","Comedy","","$225,570","","1984"
"November 9","A Nightmare on Elm Street","Horror","$1,800,000","$25,504,513","","1984"
"","No Small Affair","Romantic Comedy","","$4,994,094","","1984"
"","Oh God, You Devil!","Comedy","","$21,538,000","","1984"
"","Silent Night, Deadly Night","Horror","","$2,491,460","","1984"
"November 16","Un dimanche à la campagne","Drama","","$2,153,717","","1984"
"","Gimme an F","","","$0","","1984"
"","Just the Way You Are","Comedy","","$7,517,699","","1984"
"","Missing in Action","Action","","$22,812,411","","1984"
"","Night of the Comet","Horror","","$14,600,000","","1984"
"","Razorback","Horror","","$138,643","","1984"
"November 21","Falling in Love","Drama","","$10,600,000","","1984"
"","Supergirl","Adventure","","$14,296,438","","1984"
"December 5","Beverly Hills Cop","Action","$15,000,000","$234,760,478","","1984"
"December 7","2010","Thriller/Suspense","","$41,000,000","","1984"
"","City Heat","Action","","$38,348,988","","1984"
"December 14","The Cotton Club","Drama","$48,000,000","$25,928,721","","1984"
"","Dune","Action","$45,000,000","$27,447,471","","1984"
"","Mass Appeal","Drama","","$1,900,000","","1984"
"","Nineteen Eighty-Four","Thriller/Suspense","","$8,368,371","","1984"
"","A Passage to India","Drama","$27,500,000","$27,187,653","","1984"
"","Runaway","Thriller/Suspense","","$6,800,000","","1984"
"","Starman","Adventure","","$28,700,000","","1984"
"December 17","The River","Drama","","$8,818,672","","1984"
"December 19","Breakin' 2: Electric Boogaloo","Musical","","$15,000,000","","1984"
"December 21","Birdy","Drama","","$1,400,000","","1984"
"","The Flamingo Kid","Comedy","","$23,859,382","","1984"
"","Johnny Dangerously","Comedy","","$17,124,395","","1984"
"","Micki + Maude","Comedy","","$26,200,000","","1984"
"","Protocol","Comedy","","$26,300,000","","1984"
"December 26","Mrs. Soffel","Drama","","$4,012,827","","1984"
